General Style,ID,Style,Secondary routes,Tempo / key,Mood arc,Vocal cue,Core palette,Template
Cinematic Orchestral & Epic,cinematic-orchestral-choral-epic_0002,Cinematic Orchestral / Choral Epic,general-pop-ballad,77 BPM; Ab major,"The piece opens with a delicate, wistful melancholy driven by solo strings, which gradually swells into a majestic and awe-inspiring climax as the full orchestra and choir unite.","A mixed SATB choir (Soprano, Alto, Tenor, Bass).","A lush string section (violins, violas, cellos) serves as the harmonic and melodic core, present from the very beginning with a solo violin line that expands into full section swells, carrying through to the final fade.",templates/cinematic-orchestral-choral-epic_0002.txt
Cinematic Orchestral & Epic,cinematic-orchestral-choral-fantasy_0001,Cinematic Orchestral / Choral Fantasy,general-pop-ballad,71 BPM; G major,"The piece opens with a hushed, mysterious atmosphere that evokes a sense of ancient stillness.",Singer A (Male) and Ensemble B (Mixed Choir).,"A string ensemble (violins, violas, cellos) serves as the harmonic backbone throughout, starting with sparse, sustained notes and evolving into sweeping, rhythmic ostinatos and broad melodic lines.",templates/cinematic-orchestral-choral-fantasy_0001.txt
Cinematic Orchestral & Epic,cinematic-orchestral-epic-anthem_0001,Cinematic Orchestral / Epic Anthem,general-pop-ballad,86 BPM; D minor,"The piece opens with a solemn, atmospheric grandeur that establishes a sense of historical weight.",Singer A (Female).,"A full string section (violins, violas, cellos) serves as the harmonic backbone throughout, providing sweeping legato lines in the verses and driving staccato rhythms in the choruses.",templates/cinematic-orchestral-epic-anthem_0001.txt
Cinematic Orchestral & Epic,cinematic-orchestral-epic-anthem_0002,Cinematic Orchestral / Epic Anthem,general-pop-ballad,78 BPM; Eb major,"The piece opens with a solemn and majestic atmosphere, establishing a sense of grandeur through sustained orchestral textures.",Singer A (Male) and a Large Mixed Choir.,"A full string section serves as the harmonic backbone, playing sweeping legato lines in the intro and transitioning to rhythmic, staccato ostinatos during the driving sections.",templates/cinematic-orchestral-epic-anthem_0002.txt
Cinematic Orchestral & Epic,cinematic-orchestral-epic-ballad_0001,Cinematic Orchestral / Epic Ballad,general-pop-ballad,107 BPM; Eb major,"The piece opens with a solemn and majestic atmosphere, establishing a sense of grandeur through slow-moving orchestral swells.",Singer A (Female).,"A full string section serves as the primary harmonic and melodic driver, present from the very beginning with sustained pads that evolve into rhythmic ostinatos during the build-up.",templates/cinematic-orchestral-epic-ballad_0001.txt
Cinematic Orchestral & Epic,cinematic-orchestral-epic-ballad_0002,Cinematic Orchestral / Epic Ballad,general-pop-ballad,120 BPM; Eb major,"The piece opens with a solitary, mournful atmosphere that gradually expands into a sense of vast wonder and introspection.",Singer A (Male).,"A solo bowed string instrument (resembling an Erhu or Cello) carries the main melodic motif from the Intro through the first verse, establishing the melancholic tone.",templates/cinematic-orchestral-epic-ballad_0002.txt
Cinematic Orchestral & Epic,cinematic-orchestral-epic-ballad_0003,Cinematic Orchestral / Epic Ballad,general-pop-ballad,100 BPM; C minor,"The piece opens with a solemn and majestic atmosphere, establishing a sense of grandeur through slow-moving orchestral textures.",Singer A (Male).,"A grand piano plays arpeggiated figures and chordal support from the Intro through the Outro, serving as the harmonic anchor.",templates/cinematic-orchestral-epic-ballad_0003.txt
Cinematic Orchestral & Epic,cinematic-orchestral-epic-c-pop_0001,Cinematic Orchestral / Epic C-Pop,east-asian-ballad-heritage,81 BPM; C minor,"The piece opens with a serene, contemplative atmosphere evoking vastness and history, gradually building tension through layered instrumentation.","Singer A (Male) possesses a clear, resonant tenor voice with a warm, storytelling quality in the verses that transforms into a powerful, belting delivery in the choruses.","A traditional Chinese bamboo flute (Dizi) carries the main melodic motif in the intro and verses, later joined by a sweeping string section that takes over the primary harmonic drive in the choruses.",templates/cinematic-orchestral-epic-c-pop_0001.txt
Cinematic Orchestral & Epic,cinematic-orchestral-epic-chinese-folk-fusion_0001,Cinematic Orchestral / Epic Chinese Folk Fusion,roots-traditional-global,128 BPM; Eb minor,"The piece opens with a solitary, mournful atmosphere that establishes a sense of ancient vastness.",Singer A (Male).,"A traditional bowed string instrument (resembling an Erhu) carries the main melodic motif throughout the track, appearing in the intro, bridging sections, and soaring over the chorus.",templates/cinematic-orchestral-epic-chinese-folk-fusion_0001.txt
Cinematic Orchestral & Epic,cinematic-orchestral-epic-choral_0001,Cinematic Orchestral / Epic Choral,general-pop-ballad,102 BPM; C minor,"The piece opens with a stately, marching grandeur that immediately establishes a sense of monumental scale.","A large mixed-gender choir serves as the primary vocal force, characterized by a rich, resonant, and unified timbre that spans from deep basses to soaring sopranos.","A full symphonic string section provides the core harmonic movement, utilizing sweeping legato lines in the verses and aggressive, rhythmic staccato patterns in the choruses.",templates/cinematic-orchestral-epic-choral_0001.txt
Cinematic Orchestral & Epic,cinematic-orchestral-epic-choral_0002,Cinematic Orchestral / Epic Choral,general-pop-ballad,115 BPM; Bb minor,"The piece opens with a solitary, mournful vocal line that establishes a sense of vast solitude and ancient history.",Singer A (Male) and a Large Male Choir.,"A massive male choir serves as the central harmonic and rhythmic engine, present from the first verse through the finale, shifting between chanting and soaring melodies.",templates/cinematic-orchestral-epic-choral_0002.txt
Cinematic Orchestral & Epic,cinematic-orchestral-epic-choral_0003,Cinematic Orchestral / Epic Choral,general-pop-ballad,120 BPM; Bb minor,"The piece opens with a solemn, reverent atmosphere that gradually builds in intensity through sweeping orchestral swells.",Singer A (Female) and Ensemble B (Mixed Choir).,"A full string section serves as the harmonic backbone throughout the track, playing sweeping legato lines in the verses and rhythmic, staccato ostinatos during the climactic build-ups.",templates/cinematic-orchestral-epic-choral_0003.txt
Cinematic Orchestral & Epic,cinematic-orchestral-epic-choral_0004,Cinematic Orchestral / Epic Choral,general-pop-ballad,67 BPM; Bb major,"The piece opens with a solemn, majestic grandeur that establishes a sense of historical weight and reverence.","The track features a mixed ensemble comprising Singer A (Male Lead), Singer B (Female Lead), and a large Satb Choir.","A full string section (violins, violas, cellos, basses) serves as the harmonic backbone, playing sweeping legato lines in the intro and shifting to driving, rhythmic ostinatos during the high-energy sections.",templates/cinematic-orchestral-epic-choral_0004.txt
Cinematic Orchestral & Epic,cinematic-orchestral-epic-choral_0005,Cinematic Orchestral / Epic Choral,general-pop-ballad,143 BPM; D minor,"The piece opens with a solemn, majestic grandeur that immediately establishes a sense of historical weight.",Singer A (Male) and a Large Mixed Choir.,"A full symphonic string section serves as the primary harmonic and melodic driver, present from the Intro to the Outro.",templates/cinematic-orchestral-epic-choral_0005.txt
Cinematic Orchestral & Epic,cinematic-orchestral-epic-choral_0006,Cinematic Orchestral / Epic Choral,general-pop-ballad,80-145 BPM; key/scale unspecified,"The piece opens with a somber, mysterious, and atmospheric tone that gradually builds tension through a narrative verse.",Singer A (Male) and Ensemble B (Mixed Choir).,"A lush string section serves as the harmonic backbone throughout, starting with sustained, low-register pads and evolving into rapid, rhythmic ostinatos during the climax.",templates/cinematic-orchestral-epic-choral_0006.txt
Cinematic Orchestral & Epic,cinematic-orchestral-epic-choral-pop_0001,Cinematic Orchestral / Epic Choral Pop,general-pop-ballad,76 BPM; D minor,"The piece opens with a solemn, reflective atmosphere that gradually builds tension through swelling strings and choir layers.",Singer A (Male) and a Large Mixed Choir.,"A grand piano plays arpeggiated figures in the intro and verses, establishing the harmonic foundation, while a full string section (violins, violas, cellos) provides sweeping melodic lines and rhythmic ostinatos that…",templates/cinematic-orchestral-epic-choral-pop_0001.txt
Cinematic Orchestral & Epic,cinematic-orchestral-epic-soundtrack_0001,Cinematic Orchestral / Epic Soundtrack,general-pop-ballad,125 BPM; Eb minor,"The piece opens with a solitary, mournful atmosphere that gradually builds tension through the introduction of rhythmic pulses and layered strings.",Singer A (Female) and Singer B (Male).,"A solo bowed string instrument (likely an Erhu or Cello) carries the main melodic motif from the Intro through the first verse, establishing the emotional core.",templates/cinematic-orchestral-epic-soundtrack_0001.txt
Cinematic Orchestral & Epic,cinematic-orchestral-epic-soundtrack_0002,Cinematic Orchestral / Epic Soundtrack,general-pop-ballad,118 BPM; Eb minor,"The piece opens with a solemn, reverent atmosphere that establishes a sense of ancient history and duty.","Singer A (Male) possesses a rich, resonant baritone capable of both soft, narrative delivery and powerful, operatic projection.","A grand piano introduces the harmonic foundation with sparse, resonant chords, which is later joined and eventually overtaken by a full string section (violins, violas, cellos) playing sweeping legato lines and…",templates/cinematic-orchestral-epic-soundtrack_0002.txt
Cinematic Orchestral & Epic,cinematic-orchestral-musical-theatre_0001,Cinematic Orchestral / Musical Theatre,traditional-vocal-stage,81 BPM; E minor,"The piece opens with a brooding, ominous atmosphere established by low strings and brass, creating a sense of impending dread.",Singer A (Male).,"A full string ensemble serves as the harmonic backbone throughout, starting with a rhythmic, staccato ostinato in the lower registers and expanding into sweeping, legato melodic lines during the climax.",templates/cinematic-orchestral-musical-theatre_0001.txt
Cinematic Orchestral & Epic,cinematic-orchestral-musical-theatre-ballad_0001,Cinematic Orchestral / Musical Theatre Ballad,traditional-vocal-stage,85 BPM; Eb minor,"The piece opens with a mysterious and submerged atmosphere, characterized by low-frequency tension and restraint.",Singer A (Male).,"A full string ensemble serves as the harmonic backbone, starting with sustained, low-register pads that create tension, then expanding into sweeping, high-register melodic lines during the climax.",templates/cinematic-orchestral-musical-theatre-ballad_0001.txt
Cinematic Orchestral & Epic,cinematic-orchestral-musical-theatre-ballad_0002,Cinematic Orchestral / Musical Theatre Ballad,traditional-vocal-stage,71 BPM; Bb major,"The piece opens with a somber, mysterious atmosphere that establishes a sense of isolation and depth.",Singer A (Male).,"A lush string section serves as the harmonic backbone, starting with sustained, low-register pads and evolving into sweeping, high-register melodic lines that drive the emotional arc.",templates/cinematic-orchestral-musical-theatre-ballad_0002.txt
Cinematic Orchestral & Epic,cinematic-orchestral-musical-theatre-ballad_0003,Cinematic Orchestral / Musical Theatre Ballad,traditional-vocal-stage,62 BPM; Bb minor,"The piece opens with a fragile, melancholic stillness that gradually accumulates tension through swelling strings and rising melodic lines.",Singer A (Female).,"A solo piano provides the initial harmonic foundation with sparse, arpeggiated figures, present from the Intro through the first verse.",templates/cinematic-orchestral-musical-theatre-ballad_0003.txt
Cinematic Orchestral & Epic,cinematic-orchestral-traditional-chinese-folk-fusion_0001,Cinematic Orchestral / Traditional Chinese Folk Fusion,roots-traditional-global,122 BPM; Bb major,"The piece opens with a grand, sweeping orchestral flourish that immediately establishes an epic and majestic tone.",Singer A (Female).,"A lush string section (violins, violas, cellos) serves as the harmonic backbone throughout the entire track, providing sweeping legato lines in the intro and choruses, and soft pads during the verses.",templates/cinematic-orchestral-traditional-chinese-folk-fusion_0001.txt
Cinematic Orchestral & Epic,cinematic-orchestral-world-folk-fusion_0001,Cinematic Orchestral / World Folk Fusion,roots-traditional-global,70 BPM; Eb major,"The piece opens with a serene, atmospheric introduction that evokes a sense of vastness and mystery.",Singer A (Male).,"A sweeping string section serves as the primary harmonic and melodic driver throughout the track, providing legato lines in the verses and staccato rhythmic pulses in the choruses.",templates/cinematic-orchestral-world-folk-fusion_0001.txt
Cinematic Orchestral & Epic,contemporary-classical-ambient-ballad_0001,Contemporary Classical / Ambient Ballad,electronic-synth-ambient-pop,76 BPM; Bb major,"The piece opens with a solitary, reflective atmosphere that gradually deepens into a poignant sense of longing as the string section swells.",Singer A (Male).,"A grand piano with a felted, soft tone serves as the harmonic backbone, playing arpeggiated figures and sustained chords from the very beginning to the end.",templates/contemporary-classical-ambient-ballad_0001.txt
Cinematic Orchestral & Epic,orchestral-choral-patriotic-anthem_0001,Orchestral Choral / Patriotic Anthem,general-pop-ballad,105 BPM; Bb major,"The piece opens with a stately, martial grandeur that establishes a sense of historical weight and solemnity.",Singer A (Male) and a Mixed Choir (Male/Female).,A full Symphonic Orchestra acts as the core foundation.,templates/orchestral-choral-patriotic-anthem_0001.txt
Cinematic Orchestral & Epic,orchestral-march-patriotic-anthem_0001,Orchestral March / Patriotic Anthem,general-pop-ballad,113 BPM; Eb major,"The piece opens with a commanding, martial introduction that immediately establishes a tone of grandeur and solemnity.",Singer A (Male) and a Male Choir Ensemble.,"A full symphonic brass section (trumpets, trombones, French horns) serves as the core melodic and harmonic driver, present from the opening fanfare through to the final cadence, delivering bold, heroic motifs.",templates/orchestral-march-patriotic-anthem_0001.txt
Cinematic Orchestral & Epic,orchestral-pop-cinematic-anthem_0001,Orchestral Pop / Cinematic Anthem,general-pop-ballad,103 BPM; G major,"The piece opens with a serene, majestic atmosphere that evokes a sense of timeless grandeur.","The track features a mixed ensemble including Singer A (Male Lead), Singer B (Female Lead), and a large Mixed Choir.","A grand piano serves as the harmonic anchor, playing arpeggiated figures in the intro and verses, shifting to broad, chordal strikes in the choruses.",templates/orchestral-pop-cinematic-anthem_0001.txt
Cinematic Orchestral & Epic,orchestral-pop-cinematic-anthem_0002,Orchestral Pop / Cinematic Anthem,general-pop-ballad,72 BPM; Bb major,"The piece opens with a solemn and reflective atmosphere, establishing a sense of grandeur through sustained orchestral textures.",Singer A (Male) and a Large Mixed Choir.,"A grand piano serves as the initial harmonic anchor, playing arpeggiated figures in the intro and verses, while a full string section (violins, violas, cellos) takes over the primary melodic and harmonic weight during…",templates/orchestral-pop-cinematic-anthem_0002.txt
Cinematic Orchestral & Epic,orchestral-pop-cinematic-ballad_0001,Orchestral Pop / Cinematic Ballad,cinematic-pop-ballad,105 BPM; Eb major,"The piece opens with a stately, marching grandeur that quickly settles into a restrained and melancholic narrative tone during the verses.",Singer A (Male).,"A piano provides the core harmonic foundation, playing arpeggiated figures in the verses and block chords in the choruses, present from the Intro to the Outro.",templates/orchestral-pop-cinematic-ballad_0001.txt
Cinematic Orchestral & Epic,orchestral-pop-cinematic-musical-theatre_0001,Orchestral Pop / Cinematic Musical Theatre,traditional-vocal-stage,79 BPM; B minor,"The piece opens with a solemn, narrative gravity that gradually accumulates tension through swelling orchestration.","Singer A (Male) possesses a resonant, operatic tenor timbre with a clear, projecting quality capable of sustained high notes.","A grand piano and a lush string section (violins, violas, cellos) form the harmonic backbone throughout, shifting from sparse arpeggios in the intro to sweeping, legato chords in the climax.",templates/orchestral-pop-cinematic-musical-theatre_0001.txt
Cinematic Orchestral & Epic,spoken-word-ambient-cinematic_0001,Spoken Word / Ambient Cinematic,electronic-synth-ambient-pop,90 BPM; Eb major,"The piece opens with a fragile, contemplative atmosphere established by sparse piano arpeggios and a solitary voice.",Singer A (Male).,"A solo acoustic piano plays gentle, rolling arpeggios that serve as the harmonic backbone from the very beginning to the final fade-out.",templates/spoken-word-ambient-cinematic_0001.txt
index-cinematic-pop-ballad,cinematic-ballad-ambient-pop_0001,Cinematic Ballad / Ambient Pop,electronic-synth-ambient-pop,70 BPM; Bb minor,"The piece opens with a fragile, intimate melancholy that gradually expands into a sweeping, sorrowful grandeur during the central section.","A single female vocalist delivers the performance with a clear, crystalline soprano timbre.","A grand piano serves as the foundational harmonic instrument, playing arpeggiated figures and sustained chords from the very beginning to the end.",templates/cinematic-ballad-ambient-pop_0001.txt
index-cinematic-pop-ballad,cinematic-ballad-chinese-traditional-fusion_0001,Cinematic Ballad / Chinese Traditional Fusion,roots-traditional-global,77 BPM; D minor,"The piece opens with a solitary, mournful atmosphere that feels vast and introspective.",Singer A (Female).,"A solo bowed string instrument (resembling an Erhu) carries the main melodic motif from the Intro through the Verses, establishing the traditional tonal character.",templates/cinematic-ballad-chinese-traditional-fusion_0001.txt
index-cinematic-pop-ballad,cinematic-ballad-chinese-traditional-fusion_0002,Cinematic Ballad / Chinese Traditional Fusion,roots-traditional-global,65 BPM; Eb major,"The piece opens with a solitary, ethereal melancholy that establishes a sense of ancient longing.",Singer A (Female).,"A solo bamboo flute (Dizi) carries the main melodic motif in the introduction and interludes, characterized by its breathy, expressive tone.",templates/cinematic-ballad-chinese-traditional-fusion_0002.txt
index-cinematic-pop-ballad,cinematic-ballad-choral-pop_0001,Cinematic Ballad / Choral Pop,general-pop-ballad,65 BPM; Ab major,"The piece opens with a solitary, ethereal atmosphere that feels fragile and introspective.",Singer A (Female) and a Mixed Choir (Male and Female).,"A resonant grand piano serves as the harmonic backbone, playing arpeggiated figures in the intro and verses, shifting to broad, sustained chords during the choruses to support the vocal weight.",templates/cinematic-ballad-choral-pop_0001.txt
index-cinematic-pop-ballad,cinematic-ballad-choral-pop_0002,Cinematic Ballad / Choral Pop,general-pop-ballad,71 BPM; Eb major,"The piece opens with a serene, contemplative atmosphere that feels vast and solitary.",Singer A (Female) and a Mixed Choir.,"A grand piano with a warm, felt-muted tone serves as the harmonic backbone, present from the very beginning to the end.",templates/cinematic-ballad-choral-pop_0002.txt
index-cinematic-pop-ballad,cinematic-ballad-contemporary-musical-theatre_0001,Cinematic Ballad / Contemporary Musical Theatre,traditional-vocal-stage,74 BPM; Eb minor,"The piece opens with a fragile, intimate vulnerability, establishing a tone of supplication and quiet anticipation.","A solo Male vocalist delivers the performance with a rich, resonant baritone-to-tenor range.",A grand piano serves as the harmonic and rhythmic backbone throughout the entire track.,templates/cinematic-ballad-contemporary-musical-theatre_0001.txt
index-cinematic-pop-ballad,cinematic-ballad-ethereal-pop_0001,Cinematic Ballad / Ethereal Pop,general-pop-ballad,70 BPM; F minor,"The piece opens with a solitary, meditative stillness that evokes a sense of vast emptiness.","A single female vocalist delivers the performance with a pure, crystalline soprano timbre.","A deep, sustained synthesizer pad serves as the harmonic bedrock from the very beginning, evolving slowly in timbre to mirror the song's emotional arc.",templates/cinematic-ballad-ethereal-pop_0001.txt
index-cinematic-pop-ballad,cinematic-ballad-ethereal-world-music_0001,Cinematic Ballad / Ethereal World Music,general-pop-ballad,67 BPM; C minor,"The piece opens with a solitary, meditative stillness that gradually expands into a majestic and solemn grandeur.",Singer A (Female).,"A resonant piano provides the core harmonic structure, playing slow, arpeggiated figures that persist from the Intro through the Outro, anchoring the melodic progression.",templates/cinematic-ballad-ethereal-world-music_0001.txt
index-cinematic-pop-ballad,cinematic-ballad-indie-folk_0001,Cinematic Ballad / Indie Folk,contemporary-folk-acoustic,83 BPM; Bb major,"The piece opens with a fragile, intimate melancholy, establishing a sense of solitude and stillness.","A solo female vocalist delivers the performance with a clear, pure, and slightly breathy timbre.","A finger-picked acoustic guitar serves as the foundational harmonic instrument, present from the very beginning and continuing through to the end, providing a consistent rhythmic and melodic anchor.",templates/cinematic-ballad-indie-folk_0001.txt
index-cinematic-pop-ballad,cinematic-ballad-musical-theatre_0001,Cinematic Ballad / Musical Theatre,traditional-vocal-stage,71 BPM; Bb major,"The piece opens with a fragile, intimate melancholy, establishing a sense of vulnerability.",Singer A (Male).,"A grand piano serves as the harmonic and melodic anchor, present from the very beginning to the end.",templates/cinematic-ballad-musical-theatre_0001.txt
index-cinematic-pop-ballad,cinematic-ballad-musical-theatre_0002,Cinematic Ballad / Musical Theatre,traditional-vocal-stage,71 BPM; Bb major,"The piece opens with a delicate, wondrous atmosphere, evoking a sense of quiet discovery and innocence.",Singer A (Female).,"A resonant grand piano serves as the harmonic backbone, present from the very beginning to the end.",templates/cinematic-ballad-musical-theatre_0002.txt
index-cinematic-pop-ballad,cinematic-ballad-musical-theatre_0003,Cinematic Ballad / Musical Theatre,traditional-vocal-stage,76 BPM; Bb major,"The piece opens with a delicate, wistful atmosphere that suggests longing and introspection.",Singer A (Female).,"A grand piano provides the foundational harmonic structure, playing arpeggiated figures in the verses and shifting to broad, chordal block patterns during the climactic sections.",templates/cinematic-ballad-musical-theatre_0003.txt
index-cinematic-pop-ballad,cinematic-ballad-orchestral-folk_0001,Cinematic Ballad / Orchestral Folk,roots-traditional-global,86 BPM; D major,"The piece opens with a serene, almost magical stillness, establishing a contemplative and gentle mood.",Singer A (Female).,"A harp and acoustic piano form the harmonic core, present from the Intro through the Outro.",templates/cinematic-ballad-orchestral-folk_0001.txt
index-cinematic-pop-ballad,cinematic-ballad-orchestral-pop_0001,Cinematic Ballad / Orchestral Pop,cinematic-orchestral-epic,140 BPM; A minor,"The piece opens with a fragile, intimate melancholy, establishing a sense of quiet solitude.",Singer A (Female).,"A grand piano serves as the harmonic and melodic anchor, playing sparse, resonant chords in the intro and evolving into a fuller, rolling accompaniment as the track builds.",templates/cinematic-ballad-orchestral-pop_0001.txt
index-cinematic-pop-ballad,cinematic-ballad-orchestral-pop_0002,Cinematic Ballad / Orchestral Pop,cinematic-orchestral-epic,75 BPM; F minor,"The piece opens with a fragile, contemplative mood established by sparse instrumentation and soft vocals.",Singer A (Female).,"A grand piano serves as the harmonic backbone, playing arpeggiated figures in the verses and shifting to broad, sustained chords in the choruses.",templates/cinematic-ballad-orchestral-pop_0002.txt
index-cinematic-pop-ballad,cinematic-ballad-orchestral-pop_0003,Cinematic Ballad / Orchestral Pop,cinematic-orchestral-epic,67 BPM; D minor,"The piece opens with a serene, intimate, and contemplative mood, evoking a sense of wonder and vastness.","A solo female vocalist delivers the performance with a clear, pure, and ethereal soprano timbre.","A grand piano serves as the harmonic and rhythmic anchor, present from the very beginning to the end.",templates/cinematic-ballad-orchestral-pop_0003.txt
index-cinematic-pop-ballad,cinematic-ballad-orchestral-pop_0004,Cinematic Ballad / Orchestral Pop,cinematic-orchestral-epic,86 BPM; Bb major,"The piece opens with a delicate, wistful atmosphere that suggests introspection and quiet longing.","Singer A (Female) possesses a clear, pure soprano timbre with a slightly breathy quality in the lower register that transitions to a bright, resonant tone in the upper register.","A grand piano serves as the harmonic backbone throughout the entire track, playing arpeggiated figures in the verses and broad, sustained chords in the choruses.",templates/cinematic-ballad-orchestral-pop_0004.txt
index-cinematic-pop-ballad,cinematic-ballad-orchestral-pop_0005,Cinematic Ballad / Orchestral Pop,cinematic-orchestral-epic,81 BPM; Bb minor,"The piece opens with a delicate, introspective melancholy, establishing a sense of solitude and quiet reflection.","A solo female vocalist delivers the performance with a clear, pure, and slightly breathy soprano timbre.","A grand piano serves as the harmonic backbone throughout the entire track, playing arpeggiated figures in the verses and shifting to broader, chordal block patterns during the choruses to drive the emotional arc.",templates/cinematic-ballad-orchestral-pop_0005.txt
index-cinematic-pop-ballad,cinematic-ballad-orchestral-pop_0006,Cinematic Ballad / Orchestral Pop,cinematic-orchestral-epic,87 BPM; Bb major,"The piece opens with a fragile, introspective melancholy, establishing a sense of solitude that persists through the initial verses.",Singer A (Female).,"A grand piano serves as the harmonic backbone, playing arpeggiated figures in the verses and shifting to broad, sustained chords in the choruses.",templates/cinematic-ballad-orchestral-pop_0006.txt
index-cinematic-pop-ballad,cinematic-ballad-orchestral-pop_0007,Cinematic Ballad / Orchestral Pop,cinematic-orchestral-epic,91 BPM; G minor,"The piece opens with a fragile, contemplative atmosphere that gradually swells into a majestic and sweeping emotional peak.",Singer A (Male).,"A grand piano serves as the harmonic backbone, playing arpeggiated figures in the intro and shifting to broad, chordal support during the choruses, present from start to finish.",templates/cinematic-ballad-orchestral-pop_0007.txt
index-cinematic-pop-ballad,cinematic-ballad-orchestral-pop_0008,Cinematic Ballad / Orchestral Pop,cinematic-orchestral-epic,71 BPM; Eb major,"The piece opens with a fragile, ethereal stillness that gradually accumulates emotional weight through the verses.",Singer A (Male).,"A delicate harp arpeggio and a solo flute establish the melodic motif in the intro, remaining central to the texture until the full orchestral swell.",templates/cinematic-ballad-orchestral-pop_0008.txt
